2022-11-19 02:11:28.374[1668823888374] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823888374&signature=37eac034dfe74344750c08dd1fb9afdc03c1c193c69afa9e0c953ed31ff7d262
2022-11-19 02:11:29.468[1668823889468] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823889468&signature=3e16227fcb05850a90025f118befb6703c3b09f702aa1fb0a278a96a6c895ee2
2022-11-19 02:11:30.454[1668823890454] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823890454&signature=bdb329b08e70ac366ee030f762301bca5e97dd7ac3f5aacde6e921f57165ab9e
2022-11-19 02:11:31.496[1668823891496] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823891495&signature=4e9fe05fcad4673c617da2c4d439a491dff3a052341ac3a5897ad905677c7be9
2022-11-19 02:24:45.833[1668824685833] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668824685831&signature=a3da61ba8439b804683c0dbbace2b1d21a274d1de130816d15662715cd80b367
2022-11-19 02:24:46.402[1668824686402] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/config/getall?timestamp=1668824686402&signature=ea6d0efe2e048820c64e9d3863c2116d589e28cd993daed7f30c56ca254bc518
2022-11-19 02:24:47.481[1668824687481] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668824687481&signature=1a594286d94cef9cd80737dd61a29ce8486ceef85c70c234e2dab6aa5246eb8a
2022-11-19 02:24:51.078[1668824691078] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668824691077&signature=471455b2de144c1f61e9c76335c26f7936cb0800729d3dec296c74a9e353aef1
2022-11-19 02:24:51.484[1668824691484] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668824691483&signature=771cdf5d72d57b18f0f0dc4356d66af43b495493ff176327987f198cc895cadc
2022-11-19 02:24:51.988[1668824691988] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668824691988&signature=70137ade7bba52160d066778148de4327f7ae9d27de8d769e87c3b318bea2119
2022-11-19 02:24:52.432[1668824692432] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668824692431&signature=22204b70d47f4c7863aa9bf3a76eade3fd5fde31db018f22a4119184441044ee
2022-11-19 02:24:52.803[1668824692803] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668824692803&signature=f22efd909f931e461900057f3ad06949a32c7a7d6406c36af1e5e2a15fec11c9
2022-11-19 02:24:53.261[1668824693261] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668824693261&signature=4079ad2510bd569330bb95158f612918c8c3218fcba218ff3f10d0ea159f3865
2022-11-19 02:24:53.629[1668824693629] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668824693629&signature=906ef1e62ad72ed1c6ccce1ba2890e224c6cf8f46ef199df168112bbf96facdf
2022-11-19 02:24:54.045[1668824694045] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668824694045&signature=fcfd3e018c3d40f1540ebcb8a281e8ebae0b2cb38385a98afe4dc11a73acab8b
2022-11-19 13:11:43.023[1668863503023] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668863503020&signature=1e6bb5a36839f8de2f6751425fcd0613c25e3d7416085c9408ebc0bfcdd152cc
2022-11-19 13:11:43.648[1668863503648] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/config/getall?timestamp=1668863503648&signature=bf5713e853d1905a1ccc318a5c746d52555b511ee8af32313a291dbe05bef666
2022-11-19 13:11:44.707[1668863504707] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668863504707&signature=a33c272321575aaa2e7eb7a7899a57da5f061760720faa736ea38834c8f82776
2022-11-19 13:11:48.398[1668863508398] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668863508397&signature=25c532aac63aa3d558b693b66f2099c03e3515135c1d23c2594d4dc8f7a7e477
